,mean_consumption,std_consumption,max_consumption,min_consumption,range_consumption,cv,skewness,zero_days,zero_percentage,p90,p10,mean_consumption_log,max_consumption_log
mean_consumption,1.0,0.78,0.76,0.74,0.7,-0.07,-0.15,-0.14,-0.14,0.95,0.83,0.81,0.71
std_consumption,0.78,1.0,0.9,0.28,0.9,0.13,-0.0,-0.05,-0.05,0.91,0.35,0.67,0.75
max_consumption,0.76,0.9,1.0,0.41,0.99,0.14,0.15,-0.07,-0.07,0.82,0.47,0.66,0.78
min_consumption,0.74,0.28,0.41,1.0,0.3,-0.16,-0.07,-0.14,-0.14,0.55,0.91,0.58,0.41
range_consumption,0.7,0.9,0.99,0.3,1.0,0.17,0.16,-0.06,-0.06,0.79,0.38,0.61,0.76
cv,-0.07,0.13,0.14,-0.16,0.17,1.0,0.65,0.46,0.46,0.0,-0.17,-0.21,0.01
skewness,-0.15,-0.0,0.15,-0.07,0.16,0.65,1.0,0.38,0.38,-0.12,-0.12,-0.3,0.0
zero_days,-0.14,-0.05,-0.07,-0.14,-0.06,0.46,0.38,1.0,1.0,-0.11,-0.16,-0.37,-0.32
zero_percentage,-0.14,-0.05,-0.07,-0.14,-0.06,0.46,0.38,1.0,1.0,-0.11,-0.16,-0.37,-0.32
p90,0.95,0.91,0.82,0.55,0.79,0.0,-0.12,-0.11,-0.11,1.0,0.64,0.79,0.75
p10,0.83,0.35,0.47,0.91,0.38,-0.17,-0.12,-0.16,-0.16,0.64,1.0,0.65,0.48
mean_consumption_log,0.81,0.67,0.66,0.58,0.61,-0.21,-0.3,-0.37,-0.37,0.79,0.65,1.0,0.88
max_consumption_log,0.71,0.75,0.78,0.41,0.76,0.01,0.0,-0.32,-0.32,0.75,0.48,0.88,1.0
